@High to low,@Low to High,@Sort_Button,Company,Display,Fingerprint Sensor,Gaming,GC_Null,Gen_Text,Generation,Graphics,Graphics Card,Graphics Company,Link,Model No,Num Keypad,OS,Processor,Processor Brand,RAM,Screen Size,SSD,Thumbnail,Title,Touch Screen,Warranty,Weight,Weight (group),1,@Button,@KW_Filter,@Price Sorting,Price,Sr. No
High to Low,Low to High,FALSE,ASUS,"Anti-glare, Screen-to-Body Ratio: 85%",Yes,No,N/A,(12th Gen),12th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/asus-vivobook-s14-oled-intel-evo-h-series-core-i7-12th-gen-12700h-16-gb-512-gb-ssd-windows-11-home-s3402za-km702ws-thin-light-laptop/p/itm6e9c39821d69d?pid=COMGCG2GCTYUYF4N&lid=LSTCOMGCG2GCTYUYF4NFRNNAW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGCG2GCTYUYF4N.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,S3402ZA-KM702WS,No,Windows 11 Home,Intel Core i7,Intel,16 GB,14 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/t/2/-original-imagqdrxfn6kzjfz.jpeg?q=70,ASUS Vivobook S14 OLED Intel EVO H-Series Intel Core i7 12th Gen 12700H,No,1 Year Onsite Warranty,1.50 kg,1.21 KG TO 1.50 KG,1,1,1,-77990,77990,1
High to Low,Low to High,FALSE,SAMSUNG,Super Amoled FHD display,Yes,No,N/A,(13th Gen),13th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/samsung-galaxy-book3-360-evo-amoled-intel-core-i7-13th-gen-1360p-16-gb-1-tb-ssd-windows-11-home-np750qfg-ka3in-thin-light-laptop/p/itm7565ea313d650?pid=COMGPXF2TFUGNNYG&lid=LSTCOMGPXF2TFUGNNYGR2PY87&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGPXF2TFUGNNYG.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,NP750QFG-KA3IN,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,15.6 Inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/8/v/galaxy-book3-360-thin-and-light-laptop-samsung-original-imagqqg2zkucnz39.jpeg?q=70,SAMSUNG Galaxy Book3 360 EVO AMOLED Intel Core i7 13th Gen 1360P,Yes,1 Year Onsite Warranty,1.46 Kg,1.21 KG TO 1.50 KG,1,1,1,-133990,133990,2
High to Low,Low to High,FALSE,Acer,"WUXGA, IPS (In-Plane Switching) technology, high-brightness (400 nits)",No,Yes,4 GB,(13th Gen),13th Gen,NVIDIA GeForce RTX 4050,4 GB,NVIDIA,https://www.flipkart.com/acer-predator-neo-2023-intel-core-i7-13th-gen-13700hx-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-phn16-71-757p-gaming-laptop/p/itmbac4c539241e8?pid=COMGZS9GYMHMGDT6&lid=LSTCOMGZS9GYMHMGDT6BRZQ8C&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGZS9GYMHMGDT6.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,PHN16-71-757P,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,16 Inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/r/d/-original-imagp7w2wgf5ense.jpeg?q=70,Acer Predator Neo (2023) Intel Core i7 13th Gen 13700HX,No,1 Year International Travelers Warranty (ITW),2.6 Kg,2.11 KG & Above,1,1,1,-113480,113480,3
High to Low,Low to High,FALSE,Zebronics,"Full HD, IPS Screen",No,No,N/A,(12th Gen),12th Gen,Intel Integrated UHD,,Intel,https://www.flipkart.com/zebronics-thin-light-laptop-intel-core-i7-12th-gen-1255u-16-gb-1-tb-ssd-windows-11-home-zeb-nbc-5s/p/itmb605901c4d2a7?pid=COMGTGFGE6CCV92G&lid=LSTCOMGTGFGE6CCV92G92WPYU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGTGFGE6CCV92G.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,ZEB-NBC 5S,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,15.6 Inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/4/n/-original-imagxqetwufbjtyy.jpeg?q=70,ZEBRONICS Thin and Light Laptop Intel Core i7 12th Gen 1255U,No,1 Year Carry-in Warranty,1.76 Kg,1.51 KG TO 1.80 KG ,1,1,1,-43990,43990,4
High to Low,Low to High,FALSE,Lenovo,"WUXGA, IPS 300nits Glossy, 45% NTSC, TUV Rheinland Low Blue Light",Yes,No,N/A,(13th Gen),13th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/lenovo-ideapad-flex-5-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-14iru8-2-1-laptop/p/itm9b16f3980a01f?pid=COMGRU9ZRTYBGZ6F&lid=LSTCOMGRU9ZRTYBGZ6FMMAQXL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGRU9ZRTYBGZ6F.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,14IRU8,No,Windows 11 Home,Intel Core i7,Intel,16 GB,14 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/r/1/-original-imahyyhuz8znjtdx.jpeg?q=70,Lenovo IdeaPad Flex 5 Intel Core i7 13th Gen 1355U,Yes,1 Year Carry-in Warranty,1.5 kg,1.21 KG TO 1.50 KG,1,1,1,-77190,77190,5
High to Low,Low to High,FALSE,ASUS,"WUXGA, 16:10 aspect ratio, LED Backlit, IPS-level Panel",No,Yes,4 GB,(12th Gen),12th Gen,NVIDIA GeForce RTX 3050,4 GB,NVIDIA,https://www.flipkart.com/asus-vivobook-16x-2023-creator-intel-h-series-core-i7-12th-gen-12650h-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050-60-hz-50-tgp-k3605zc-mbn752ws-gaming-laptop/p/itmefa9bb07f343c?pid=COMGPNG4HXXVGPAS&lid=LSTCOMGPNG4HXXVGPAS2HYIBG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGPNG4HXXVGPAS.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,K3605ZC-MBN752WS,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,16 Inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/9/1/-original-imagsz6yhngzhh7w.jpeg?q=70,"ASUS Vivobook 16X (2023) For Creator, Intel H-Series Intel Core i7 12th Gen 12650H",No,1 Year Onsite Warranty,1.80 Kg,1.51 KG TO 1.80 KG ,1,1,1,-82990,82990,6
High to Low,Low to High,FALSE,Lenovo,"WQXGA, 2.5K, IPS 350nits Anti-glare, 100% sRGB, Dolby Vision, TÜV Low Blue Light",No,No,N/A,(13th Gen),13th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/lenovo-ideapad-slim-5-intel-core-i7-13th-gen-13700h-16-gb-1-tb-ssd-windows-11-home-16irl8-laptop/p/itmd923479c7d69b?pid=COMGVQ2YAVZSZSY8&lid=LSTCOMGVQ2YAVZSZSY8SAWRD5&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGVQ2YAVZSZSY8.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,16IRL8,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,16 inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/l/w/-original-imahyyhvpv6gaxk7.jpeg?q=70,Lenovo IdeaPad Slim 5 Intel Core i7 13th Gen 13700H,No,1 Year Carry-in Warranty,1.89 Kg,1.81 KG TO 2.10 KG,1,1,1,-88190,88190,7
High to Low,Low to High,FALSE,Samsung,"Full HD LED Display, Anti-Glare",Yes,No,N/A,(13th Gen),13th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/samsung-galaxy-book3-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-np750xfg-ka3in-thin-light-laptop/p/itm060a8fab083ca?pid=COMGN5FVHUGHFBQS&lid=LSTCOMGN5FVHUGHFBQSZGZXMJ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGN5FVHUGHFBQS.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,NP750XFG-KA3IN,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/z/h/galaxy-book3-thin-and-light-laptop-samsung-original-imagnb2cuanuhzmp.jpeg?q=70,SAMSUNG Galaxy Book3 Intel Core i7 13th Gen 1355U,No,1 Year Onsite Warranty,1.58 Kg,1.51 KG TO 1.80 KG ,1,1,1,-81990,81990,8
High to Low,Low to High,FALSE,Zebronics,"Full HD, IPS Screen",No,No,N/A,(12th Gen),12th Gen,Intel Integrated UHD,,Intel,https://www.flipkart.com/zebronics-pro-series-z-intel-core-i7-12th-gen-1255u-16-gb-1-tb-ssd-windows-11-home-zeb-nbc-5s-thin-light-laptop/p/itm5684eb9eb32ea?pid=COMGSZ8NNDQC45DY&lid=LSTCOMGSZ8NNDQC45DYTFNCF0&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGSZ8NNDQC45DY.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,ZEB-NBC 5S,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,15.6 inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/z/h/-original-imagxqetpzcznvsy.jpeg?q=70,ZEBRONICS Pro Series Z Intel Core i7 12th Gen 1255U,No,1 Year Carry-in Warranty,1.76 Kg,1.51 KG TO 1.80 KG ,1,1,1,-43990,43990,9
High to Low,Low to High,FALSE,HP,"Full HD, IPS, multitouch-enabled, Brightness: 250 nits, 157 ppi, Color Gamut: 45%NTSC",Yes,No,N/A,(11th Gen),11th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/hp-x360-pavilion-pen-intel-core-i7-11th-gen-1195g7-16-gb-512-gb-ssd-windows-11-home-14-dy1047tu-thin-light-laptop/p/itm2a54c9548b613?pid=COMGCNDPKPCKGGQZ&lid=LSTCOMGCNDPKPCKGGQZNMIQO2&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGCNDPKPCKGGQZ.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,14-dy1047TU,No,Windows 11 Home,Intel Core i7,Intel,16 GB,14 inch,512 GB,https://rukminim2.flixcart.com/image/312/312/l12h1u80/computer/2/s/q/14-dy1048tu-thin-and-light-laptop-hp-original-imagcpuvfpshgd7q.jpeg?q=70,HP x360 Pavilion with pen Intel Core i7 11th Gen 1195G7,Yes,1 Year Onsite Warranty,1.52 kg,1.51 KG TO 1.80 KG ,1,1,1,-67390,67390,10
High to Low,Low to High,FALSE,MSI,"Full HD, 144Hz 45% NTSC",No,Yes,8 GB,(12th Gen),12th Gen,NVIDIA GeForce RTX 4060,8 GB,NVIDIA,https://www.flipkart.com/msi-katana-17-intel-core-i7-12th-gen-12650h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-144-hz-b12vfk-668in-gaming-laptop/p/itmb4b148138389d?pid=COMGR5S36WGZU2DV&lid=LSTCOMGR5S36WGZU2DVCA722H&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGR5S36WGZU2DV.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,Katana 17 B12VFK-668IN,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,17.3 Inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/k/x/-original-imagtfzmyxguhhjh.jpeg?q=70,MSI Katana 17 Intel Core i7 12th Gen 12650H,No,2 Year Carry-in Warranty,2.6 Kg,2.11 KG & Above,1,1,1,-114990,114990,11
High to Low,Low to High,FALSE,ASUS,"Full HD, 1920 x 1080 pixel",No,Yes,8 GB,(12th Gen),12th Gen,NVIDIA GeForce RTX 4060,8 GB,NVIDIA,https://www.flipkart.com/asus-intel-core-i7-12th-gen-16-gb-512-gb-ssd-windows-11-home-8-graphics-nvidia-geforce-rtx-8gb-4060-fx507zv-lp094w-gaming-laptop/p/itm89b659fa1fc3c?pid=COMGPRVNAZZHBHGG&lid=LSTCOMGPRVNAZZHBHGGP76HCO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGPRVNAZZHBHGG.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,FX507ZV-LP094W,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,15.6 inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/m/8/tuf-gaming-f15-gaming-laptop-asus-original-imagprvnza3wyhwa.jpeg?q=70,ASUS Intel Core i7 12th Gen,No,1 Year Warranty,N/A,N/A,1,1,1,-102000,102000,12
High to Low,Low to High,FALSE,DELL,"Full HD, 1920 x 1080 pixel, 120 Hz",No,No,N/A,(13th Gen),13th Gen,Intel UHD Graphics,,Intel,https://www.flipkart.com/dell-inspiron-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-3530-thin-light-laptop/p/itmaeb27988be238?pid=COMGUXC4UXUCH5BQ&lid=LSTCOMGUXC4UXUCH5BQX1CW07&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGUXC4UXUCH5BQ.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,Inspiron 3530,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,15.6 inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/o/h/inspiron-3530-thin-and-light-laptop-dell-original-imagx7z26ssh3f2c.jpeg?q=70,DELL Inspiron Intel Core i7 13th Gen 1355U,No,1 Year Onsite Hardware Service,N/A,N/A,1,1,1,-69990,69990,13
High to Low,Low to High,FALSE,ZEBRONICS,"Full HD, IPS Screen",No,No,N/A,(12th Gen),12th Gen,Intel Integrated UHD,,Intel,https://www.flipkart.com/zebronics-thin-light-laptop-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-zeb-nbc-5s/p/itmb605901c4d2a7?pid=COMGTGFGGM87TPAR&lid=LSTCOMGTGFGGM87TPARRRVXCW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGTGFGGM87TPAR.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,ZEB-NBC 5S,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/4/n/-original-imagxqetwufbjtyy.jpeg?q=70,ZEBRONICS Thin and Light Laptop Intel Core i7 12th Gen 1255U,No,1 Year Carry-in Warranty,1.76 Kg,1.51 KG TO 1.80 KG ,1,1,1,-40990,40990,14
High to Low,Low to High,FALSE,Infinix,"Full HD IPS Display (300nits peak brightness, 100% sRGB, NTSC 72%)",No,No,N/A,(12th Gen),12th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/infinix-x3-slim-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-xl422-thin-light-laptop/p/itmbeba81d7c6a36?pid=COMGRSWXFQW2HRMB&lid=LSTCOMGRSWXFQW2HRMBY7X1MT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&otracker1=search&fm=Search&iid=ca16d7c3-8c5e-44cf-8c64-0ea5a4422851.COMGRSWXFQW2HRMB.SEARCH&ppt=sp&ppn=sp&ssid=1kfududfk00000001713336396542&qH=c06ea84a1e3dc3c6,XL422,No,Windows 11 Home,Intel Core i7,Intel,16 GB,14 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/w/j/xl422-thin-and-light-laptop-infinix-original-imags7v8m4zcsab2.jpeg?q=70,Infinix X3 Slim Intel Intel Core i7 12th Gen 1255U,No,1 Year Onsite Warranty,1.24 Kg,1.21 KG TO 1.50 KG,1,1,1,-43990,43990,15
High to Low,Low to High,FALSE,HP,"Full HD, Touchscreen",Yes,Yes,N/A,(13th Gen),13th Gen,Intel Integrated Intel® Iris® X? Graphics,,Intel,https://www.flipkart.com/hp-pavilion-x360-intel-core-i7-13th-gen-16-gb-512-gb-ssd-windows-11-home-14-ek1021tu-2-1-laptop/p/itm52734005494bf?pid=COMGT4WXAXMRSZZG&lid=LSTCOMGT4WXAXMRSZZGH8DHVF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_26&otracker=search&otracker1=search&fm=Search&iid=159ae537-14dd-425b-bcec-a37432712320.COMGT4WXAXMRSZZG.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,14-EK1021TU,No,Windows 11 Home,Intel Core i7,Intel,16 GB,14 inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/z/a/14-ek1010tu-thin-and-light-laptop-hp-original-imagnksxpampc2fe.jpeg?q=70,HP Pavilion x360 Intel Core i7 13th Gen 14-EK1021TU 2-in-1,Yes,1 Year Warranty,N/A,N/A,1,1,1,-89990,89990,16
High to Low,Low to High,FALSE,HP,"Full HD, 144 Hz, IPS, Anti-glare",No,Yes,4 GB,(12th Gen),12th Gen,NVIDIA GeForce RTX 3050,4 GB,NVIDIA,https://www.flipkart.com/hp-victus-intel-core-i7-12th-gen-12650h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15-fa0188tx-gaming-laptop/p/itm1c2e91ba5ca7e?pid=COMGRZQ24BVVKBHS&lid=LSTCOMGRZQ24BVVKBHSYAFT6R&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_34&otracker=search&otracker1=search&fm=Search&iid=159ae537-14dd-425b-bcec-a37432712320.COMGRZQ24BVVKBHS.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,15-fa0188TX,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/i/j/-original-imagthcbgurdzwuc.jpeg?q=70,HP Victus Intel Core i7 12th Gen 15-fa0188TX Gaming,No,1 Year Onsite Warranty,2.37 Kg,2.11 KG & Above,1,1,1,-81990,81990,17
High to Low,Low to High,FALSE,MSI,"Full HD, 60Hz, IPS-Level, 45%NTSC",Yes,No,N/A,(13th Gen),13th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/msi-prestige-16studio-intel-core-i7-13th-gen-13700h-16-gb-1-tb-ssd-windows-11-home-a13ve-031in-thin-light-laptop/p/itm7428e73d34470?pid=COMGMV6VAFZH3HVR&lid=LSTCOMGMV6VAFZH3HVREMYJED&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_36&otracker=search&otracker1=search&fm=Search&iid=159ae537-14dd-425b-bcec-a37432712320.COMGMV6VAFZH3HVR.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,Modern 14 C13M-435IN,No,Windows 11 Home,Intel Core i7,Intel,16 GB,14 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/w/o/prestige-16studio-a13ve-031in-laptop-msi-original-imagnjyvgmhfpegx.jpeg?q=70,MSI Modern 14 Intel Core i7 13th Gen Modern 14 C13M-435IN,No,1 Year Carry-in Warranty,1.4 Kg,1.21 KG TO 1.50 KG,1,1,1,-64990,64990,18
