@High to low,@Low to High,@Sort_Button,Company,Display,Fingerprint Sensor,Gaming,GC_Null,Gen_Text,Generation,Graphics,Graphics Card,Graphics Company,Link,Model No,Num Keypad,OS,Processor,Processor Brand,RAM,Screen Size,SSD,Thumbnail,Title,Touch Screen,Warranty,Weight,Weight (group),1,@Button,@KW_Filter,@Price Sorting,Price,Sr. No
High to Low,Low to High,FALSE,Lenovo,"39.62 cm Full HD TN 250nits Anti-glare, 45%",No,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/lenovo-ideapad-slim1-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15acl6-15acl7-thin-light-laptop/p/itm2e4ec8e868eb7?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMG9VHHF6HVJPP9.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,15ACL6,Yes,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,8 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/3/c/-original-imagtzwvygkwvbex.jpeg?q=70,Lenovo IdeaPad Slim1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6,No,1 Year Onsite ODP,1.65 kg,1.51 KG TO 1.80 KG ,1,1,1,-35990,35990,57
High to Low,Low to High,FALSE,HP,"15.6 Inch Full HD, 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45% NTSC",Yes,Yes,4 GB,,,NVIDIA GeForce RTX 3050,4 GB,NVIDIA,https://www.flipkart.com/hp-victus-amd-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15-fb0053ax-gaming-laptop/p/itm34fbf5d1b3c47?pid=COMGGYEBNC6XDG4W&lid=LSTCOMGGYEBNC6XDG4WMLHOTM&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGGYEBNC6XDG4W.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,15-fb0053AX,Yes,Windows 11 Home,AMD Ryzen 7 Octa Core,AMD,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/l5bd5zk0/computer/l/e/k/15-fb0040ax-gaming-laptop-hp-original-imaggyuezf9qtypd.jpeg?q=70,HP Victus AMD Ryzen 7 Octa Core 5800H,No,1 Year Onsite Warranty,2.37 Kg,2.11 KG & Above,1,1,1,-71490,71490,58
High to Low,Low to High,FALSE,ASUS,"15.6 Inch FHD, 16:9 aspect ratio, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",No,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/asus-vivobook-15-amd-ryzen-7-octa-core-5800hs-16-gb-512-gb-ssd-windows-11-home-m1502qa-ej742ws-thin-light-laptop/p/itmf83037b199f30?pid=COMGZKHQUQDBWXHT&lid=LSTCOMGZKHQUQDBWXHTTUWZUP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGZKHQUQDBWXHT.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,M1502QA-EJ742WS,Yes,Windows 11 Home,AMD Ryzen 7 Octa Core,AMD,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/g/h/-original-imagtvq8wxhausyq.jpeg?q=70,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,No,1 Year Onsite Warranty,1.70 kg,1.51 KG TO 1.80 KG ,1,1,1,-49990,49990,59
High to Low,Low to High,FALSE,ASUS,"14 inch FHD+ (1920 x 1200, WUXGA) 16:10 aspect ratio, Touch screen, LED Backlit LCD, IPS-level Panel, Glossy display, 300nits Brightness, TUV Rheinland-certified, 85?% Screen-to-body ratio",Yes,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/asus-vivobook-s-14-flip-2022-amd-ryzen-5-hexa-core-5600hs-8-gb-512-gb-ssd-windows-11-home-tn3402qa-lz520ws-2-1-laptop/p/itm6588ce712501d?pid=COMGNY4VHFKQHXKP&lid=LSTCOMGNY4VHFKQHXKP6WUHLG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGNY4VHFKQHXKP.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,TN3402QA-LZ520WS,No,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,8 GB,14 inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/6/p/-original-imagqdubhwatqz9t.jpeg?q=70,ASUS Vivobook S 14 Flip (2022) AMD Ryzen 5 Hexa Core 5600HS,Yes,1 Year Onsite Warranty,1.50 kg,1.21 KG TO 1.50 KG,1,1,1,-52990,52990,60
High to Low,Low to High,FALSE,HP,"15.6 inch Full HD, micro-edge, Anti Glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",No,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/hp-pavilion-amd-ryzen-5-hexa-core-5625u-8-gb-512-gb-ssd-windows-11-home-15-eh2050au-thin-light-laptop/p/itmeec4b6b2d63e9?pid=COMGSB2RHPFEZHG7&lid=LSTCOMGSB2RHPFEZHG7ISMG7E&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGSB2RHPFEZHG7.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,15-eh2050au,Yes,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,8 GB,15.6 inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/9/8/-original-imagykgqphrzyy4j.jpeg?q=70,HP Pavilion AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 15-eh2050au Thin and Light Laptop,No,1 Year Onsite Warranty,1.75 kg,1.51 KG TO 1.80 KG ,1,1,1,-54990,54990,61
High to Low,Low to High,FALSE,Lenovo,"15.6 inch Full HD, IPS 250nits Anti-glare, 45% NTSC, 120Hz, FreeSync",Yes,Yes,4 GB,,,NVIDIA GeForce RTX 3050,4 GB,NVIDIA,https://www.flipkart.com/lenovo-ideapad-gaming-3-amd-ryzen-7-octa-core-6800h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15arh7-laptop/p/itm26222f33449ac?pid=COMGSVFEQYPRDJDB&lid=LSTCOMGSVFEQYPRDJDBMI9P0S&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=TrendingId_6bo%2Fb5g&srno=s_1_24&otracker=search&otracker1=search&fm=Search&iid=db528623-8a99-4681-93b3-5e5e0a99f305.COMGSVFEQYPRDJDB.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,15ARH7,Yes,Windows 11 Home,AMD Ryzen 7 Octa Core,AMD,8 GB,15.6 inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/1/s/-original-imagzzebftghhzr4.jpeg?q=70,Lenovo IdeaPad Gaming 3 AMD Ryzen 7 Octa Core 6800H,No,1 Year Onsite Warranty,2.32 kg,2.11 KG & Above,1,1,1,-62990,62990,62
High to Low,Low to High,FALSE,Lenovo,15.6 Inch Full HD Anti-glare Display,No,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/lenovo-amd-ryzen-7-octa-core-7730u-8-gb-512-gb-ssd-windows-11-home-thinkbook-15-g5-thin-light-laptop/p/itm3138a03a4b1a2?pid=COMGT82XR3HBQGVJ&lid=LSTCOMGT82XR3HBQGVJXIX5PN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_25&otracker=search&otracker1=search&fm=Search&iid=f7777746-e3eb-489d-9605-9aa3f46c246d.COMGT82XR3HBQGVJ.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,ThinkBook 15 G5,Yes,Windows 11 Home,AMD Ryzen 7 Octa Core,AMD,8 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/w/5/-original-imagrjfhefuhkppa.jpeg?q=70,Lenovo ThinkBook 15 G5 AMD Ryzen 7 Octa Core 7730U,No,1 Year Onsite Warranty,1.70 kg,1.51 KG TO 1.80 KG ,1,1,1,-42990,42990,63
High to Low,Low to High,FALSE,HP,"15.6 Inch Full HD, Refresh Rate 144Hz, 9ms Response time, IPS, micro edge, Anti-glare, Brightness 250 Nits, 141 ppi, Color Gamut 45% NTSC",No,Yes,4 GB,,,NVIDIA GeForce RTX 3050,4 GB,NVIDIA,https://www.flipkart.com/hp-victus-amd-ryzen-5-hexa-core-5600h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15-fb0136ax-gaming-laptop/p/itm20720e68e1331?pid=COMGZUGTTBRGYSHT&lid=LSTCOMGZUGTTBRGYSHTSMWHRT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_26&otracker=search&otracker1=search&fm=Search&iid=f7777746-e3eb-489d-9605-9aa3f46c246d.COMGZUGTTBRGYSHT.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,15-fb0136AX,Yes,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/5/y/-original-imagzw7c2mnzbtzm.jpeg?q=70,HP Victus AMD Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050),No,1 Year Onsite Warranty,2.37 kg,2.11 KG & Above,1,1,1,-58490,58490,64
High to Low,Low to High,FALSE,ASUS,"15.6 Inch FHD (1920 x 1080) OLED, 16:9 aspect ratio, Glossy display, 0.2ms response time, 600nits HDR peak Brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 500, 1.07 billion Color depth",No,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/asus-vivobook-go-15-oled-2023-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1504fa-lk521ws-thin-light-laptop/p/itm6de111c8a57b9?pid=COMGMGXFT7WWNGYG&lid=LSTCOMGMGXFT7WWNGYGEMFTUI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_27&otracker=search&otracker1=search&fm=Search&iid=f7777746-e3eb-489d-9605-9aa3f46c246d.COMGMGXFT7WWNGYG.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,E1504FA-LK521WS,Yes,Windows 11 Home,AMD Ryzen 5 Quad Core,AMD,8 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/k/k/-original-imagpxgru35rbzwz.jpeg?q=70,ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U,No,1 Year Onsite Warranty,1.63 kg,1.51 KG TO 1.80 KG ,1,1,1,-44990,44990,65
High to Low,Low to High,FALSE,ASUS,"FHD, 16:9 aspect ratio, LED Backlit, IPS-level Panel, 144Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",No,Yes,4 GB,,,NVIDIA GeForce RTX 2050,4 GB,NVIDIA,https://www.flipkart.com/asus-vivobook-pro-15-creator-amd-ryzen-7-octa-core-5800hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-50-tgp-m6500qf-hn741ws-gaming-laptop/p/itmf62d6f5927429?pid=COMGPNG4ZJAFR3PH&lid=LSTCOMGPNG4ZJAFR3PHVKTRCX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_29&otracker=search&otracker1=search&fm=Search&iid=f7777746-e3eb-489d-9605-9aa3f46c246d.COMGPNG4ZJAFR3PH.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,M6500QF-HN741WS,Yes,Windows 11 Home,AMD Ryzen 7 Octa Core,AMD,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/k/k/-original-imagqkqnb2fpbhyb.jpeg?q=70,"ASUS Vivobook Pro 15 For Creator, AMD Ryzen 7 Octa Core 5800HS",No,1 Year Onsite Warranty,1.80 Kg,1.51 KG TO 1.80 KG ,1,1,1,-60990,60990,66
High to Low,Low to High,FALSE,HP,"Full HD, Refresh Rate 144Hz, 9ms Response time, IPS, micro edge, Anti-glare, Brightness 250 Nits, 141 ppi, Color Gamut 45% NTSC",No,Yes,4 GB,,,NVIDIA GeForce RTX 3050,4 GB,NVIDIA,https://www.flipkart.com/hp-victus-amd-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15-fb0135ax-gaming-laptop/p/itm740ddb5e8081e?pid=COMGZUGTYNZFXNGG&lid=LSTCOMGZUGTYNZFXNGGHOWGKH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_30&otracker=search&otracker1=search&fm=Search&iid=f7777746-e3eb-489d-9605-9aa3f46c246d.COMGZUGTYNZFXNGG.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,15-fb0135AX,Yes,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,8 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/5/y/-original-imagzw7c2mnzbtzm.jpeg?q=70,HP Victus AMD Ryzen 5 Hexa Core 5600H,No,1 Year Onsite Warranty,2.37 Kg,2.11 KG & Above,1,1,1,-55490,55490,67
High to Low,Low to High,FALSE,Lenovo,"Full HD IPS 250nits Anti-glare, 45% NTSC, 120Hz, FreeSync",No,Yes,4 GB,,,NVIDIA GeForce RTX 2050,4 GB,NVIDIA,https://www.flipkart.com/lenovo-ideapad-gaming-3-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15arh7-laptop/p/itm2435db82309cd?pid=COMGQRD78BGMBEYX&lid=LSTCOMGQRD78BGMBEYXVEAQCY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_32&otracker=search&otracker1=search&fm=Search&iid=f7777746-e3eb-489d-9605-9aa3f46c246d.COMGQRD78BGMBEYX.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,15ARH7,Yes,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/f/a/-original-imagzzepg428mfda.jpeg?q=70,Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS,No,1 Year Onsite Warranty,2.32 Kg,2.11 KG & Above,1,1,1,-55990,55990,68
High to Low,Low to High,FALSE,Lenovo,"Full HD, IPS, Brightness: 300 nits, Anti-glare",No,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itmce54714ae1cd8?pid=COMGN2YDSFGGXYG3&lid=LSTCOMGN2YDSFGGXYG3MJBCRU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_33&otracker=search&otracker1=search&fm=Search&iid=f7777746-e3eb-489d-9605-9aa3f46c246d.COMGN2YDSFGGXYG3.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,15ALC7,Yes,Windows 11,AMD Ryzen 5 Hexa Core,AMD,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/x/e/-original-imahyyhrqegzvuck.jpeg?q=70,Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U (16 GB/512 GB SSD/Windows 11 Home),No,2 Year Warranty,1.65 kg,1.51 KG TO 1.80 KG ,1,1,1,-40990,40990,69
High to Low,Low to High,FALSE,HP,"FHD, IPS, micro-edge, BrightView, Brightness: 250 nits, Color Gamut: 45%NTSC",Yes,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/hp-amd-ryzen-7-octa-core-5700u-16-gb-1-tb-ssd-windows-11-home-15-eh1147au-thin-light-laptop/p/itm800f23fa517cc?pid=COMGYAM99RJYH6JX&lid=LSTCOMGYAM99RJYH6JXOD50VL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_35&otracker=search&otracker1=search&fm=Search&iid=f7777746-e3eb-489d-9605-9aa3f46c246d.COMGYAM99RJYH6JX.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,15-eh1147AU,Yes,Windows 11,AMD Ryzen 7 Octa Core,AMD,16 GB,15.6 Inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/a/4/-original-imagzwccvfrfkysz.jpeg?q=70,HP AMD Ryzen 7 Octa Core 5700U (16 GB/1 TB SSD/Windows 11 Home) 15-eh1147AU,Yes,1 Year Onsite Warranty,1.75 kg,1.51 KG TO 1.80 KG ,1,1,1,-63990,63990,70
High to Low,Low to High,FALSE,ASUS,"FHD, IPS-level Panel, 144Hz refresh rate, Color Gamut: 45%NTSC, Anti-glare display",No,Yes,4 GB,,,NVIDIA GeForce RTX 2050,4 GB,NVIDIA,https://www.flipkart.com/asus-vivobook-pro-15-creator-amd-ryzen-5-hexa-core-5600hs-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-50-tgp-m6500qf-hn522ws-gaming-laptop/p/itm1e18857e249b4?pid=COMGPNG4FAVZ4ECK&lid=LSTCOMGPNG4FAVZ4ECKPERZU6&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_36&otracker=search&otracker1=search&fm=Search&iid=f7777746-e3eb-489d-9605-9aa3f46c246d.COMGPNG4FAVZ4ECK.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,M6500QF-HN522WS,Yes,Windows 11,AMD Ryzen 5 Hexa Core,AMD,8 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/k/o/-original-imagqkqmf9zzsz5y.jpeg?q=70,"ASUS Vivobook Pro 15 For Creator, AMD Ryzen 5 Hexa Core 5600HS (8 GB/512 GB SSD/Windows 11",No,1 Year Onsite Warranty,1.80 kg,1.51 KG TO 1.80 KG ,1,1,1,-49990,49990,71
High to Low,Low to High,FALSE,MSI,"Full HD, 60Hz 45%NTSC IPS-Level",No,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/msi-modern-14-amd-ryzen-5-hexa-core-7530u-8-gb-512-gb-ssd-windows-11-home-c7m-063in-thin-light-laptop/p/itma9abd86c9c099?pid=COMGMV6VHGPAGP55&lid=LSTCOMGMV6VHGPAGP553JIQX6&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_49&otracker=search&otracker1=search&fm=Search&iid=fc2a0f51-fdbf-4473-bf23-eaa3f96a5b17.COMGMV6VHGPAGP55.SEARCH&ppt=sp&ppn=sp&ssid=cx7p44e5rk0000001713361116692&qH=c06ea84a1e3dc3c6,Modern 14 C7M-063IN,No,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,8 GB,14 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/8/a/-original-imagvyw9hgt3mdqa.jpeg?q=70,MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U,No,1 Year Carry-in Warranty,1.4 Kg,1.21 KG TO 1.50 KG,1,1,1,-33990,33990,72
High to Low,Low to High,FALSE,HP,"Full HD, IPS, micro-edge, Anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45% NTSC",No,Yes,4 GB,,,NVIDIA GeForce GTX 1650,4 GB,NVIDIA,https://www.flipkart.com/hp-victus-amd-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-15-fb0122ax-gaming-laptop/p/itm51fbd32b77f78?pid=COMGQRD7UCPUTFGT&lid=LSTCOMGQRD7UCPUTFGTBOWMPK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_50&otracker=search&otracker1=search&fm=Search&iid=fc2a0f51-fdbf-4473-bf23-eaa3f96a5b17.COMGQRD7UCPUTFGT.SEARCH&ppt=sp&ppn=sp&ssid=cx7p44e5rk0000001713361116692&qH=c06ea84a1e3dc3c6,15-fb0122AX,Yes,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,8 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/l5bd5zk0/computer/l/e/k/15-fb0040ax-gaming-laptop-hp-original-imaggyuezf9qtypd.jpeg?q=70,HP Victus AMD Ryzen 5 Hexa Core 5600H,No,1 Year Onsite Warranty,2.37 Kg,2.11 KG & Above,1,1,1,-55990,55990,73
High to Low,Low to High,FALSE,HP,"Full HD, IPS, micro-edge, Anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45% NTSC",No,Yes,4 GB,,,AMD Radeon RX 6500M,4 GB,AMD,https://www.flipkart.com/hp-victus-amd-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx-6500m-60-hz-15-fb0147ax-gaming-laptop/p/itm236b5aaa84afc?pid=COMGQRD7QZU6HTA8&lid=LSTCOMGQRD7QZU6HTA8ME1ZFZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_51&otracker=search&otracker1=search&fm=Search&iid=fc2a0f51-fdbf-4473-bf23-eaa3f96a5b17.COMGQRD7QZU6HTA8.SEARCH&ppt=sp&ppn=sp&ssid=cx7p44e5rk0000001713361116692&qH=c06ea84a1e3dc3c6,15-fb0147AX,Yes,Windows 11 Home,AMD Ryzen 5 Hexa Core,AMD,8 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/i/j/-original-imagthcbgurdzwuc.jpeg?q=70,HP Victus AMD Ryzen 5 Hexa Core 5600H,No,1 Year Onsite Warranty,2.37 Kg,2.11 KG & Above,1,1,1,-49490,49490,74
